doi,title,authors,author_corresponding,author_corresponding_institution,date,version,type,license,category,jatsxml,abstract,published,server
10.1101/2021.05.26.21257871,Parental plans to vaccinate children for COVID-19 in New York City,"Teasdale, C. A.; Borrell, L. N.; Shen, Y.; Kimball, S.; Rinke, M. L.; Fleary, S. A.; Nash, D. N.",Chloe A Teasdale,CUNY Graduate School of Public Health and Health Policy,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by_nc_nd,pediatrics,https://www.medrxiv.org/content/early/2021/06/01/2021.05.26.21257871.source.xml,"Once COVID-19 vaccines are approved for children <12 years of age, high pediatric vaccination coverage will be needed to help minimize the public health threat from the SARS-CoV-2 epidemic. We conducted an online survey of 1,119 parents and caregivers of children [&le;]12 years in New York City from March 9 to April 11, 2021. Among parents surveyed, 61.9% reported plans to vaccinate their youngest child for COVID-19, 14.8% said they do not plan to vaccinate their child and 23.3% were unsure. Female and non-Hispanic Black parents were least likely to report plans to vaccinate their children. Safety, effectiveness and perceptions that children do not need vaccination were the primary reasons for vaccine hesitancy/resistance. Parents who have or will vaccinate themselves were significantly more likely to report they would vaccinate their children. Efforts to increase awareness about vaccine safety and education about the importance of vaccinating children are needed.",NA,medrxiv
10.1101/2021.06.01.21257966,Reward Processing in Children with Psychotic-like Experiences,"Harju-Seppanen, J.; Irizar, H.; Bramon, E.; Blakemore, S.-J.; Mason, L.; Bell, V.",Vaughan Bell,UCL,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by_nc_nd,psychiatry and clinical psychology,https://www.medrxiv.org/content/early/2021/06/01/2021.06.01.21257966.source.xml,"Alterations to striatal reward pathways have been identified in individuals with psychosis. They are hypothesised to be a key mechanism that generates psychotic symptoms through the production of aberrant attribution of motivational salience and are proposed to result from accumulated childhood adversity and genetic risk, making the striatal system hyper-responsive to stress. However, few studies have examined whether children with psychotic-like experiences (PLEs) also exhibit these alterations, limiting our understanding of how differences in reward processing relate to hallucinations and delusional ideation in childhood. Consequently, we examined whether PLEs and PLE-related distress were associated with reward-related activation in the nucleus accumbens (NAcc). The sample consisted of children (N = 6,718) from the Adolescent Brain Cognitive Development (ABCD) study aged 9-10 years who had participated in the Monetary Incentive Delay (MID) task in functional MRI. We used robust mixed-effects linear regression models to investigate the relationship between PLEs and NAcc activation during the reward anticipation and reward outcome stages of the MID task. Analyses were adjusted for gender, household income, ethnicity, depressive symptoms, movement in the scanner, pubertal development, scanner ID, subject and family ID. There was no reliable association between PLEs and alterations to anticipation-related or outcome-related striatal reward processing. We discuss the implications for developmental models of psychosis and suggest a developmental delay model of how PLEs may arise at this stage of development.",NA,medrxiv
10.1101/2021.05.28.21257318,Development of a Deep Learning Model for Early Alzheime's Disease Detection from Structural MRIs and External Validation on an Independent Cohort,"Liu, S.; Masurkar, A.; Rusinek, H.; Chen, J.; Zhang, B.; Zhu, W.; Fernandez-Granda, C.; Razavian, N.",Narges Razavian,NYU Grossman School of Medicine,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by_nc_nd,radiology and imaging,https://www.medrxiv.org/content/early/2021/06/01/2021.05.28.21257318.source.xml,"Early diagnosis of Alzheimers disease plays a pivotal role in patient care and clinical trials. In this study, we have developed a new approach based on 3D deep convolutional neural networks to accurately differentiate mild Alzheimers disease dementia from mild cognitive impairment and cognitively normal individuals using structural MRIs. For comparison, we have built a reference model based on the volumes and thickness of previously reported brain regions that are known to be implicated in disease progression. We validate both models on an internal held-out cohort from The Alzheimers Disease Neuroimaging Initiative (ADNI) and on an external independent cohort from The National Alzheimers Coordinating Center (NACC). The deep-learning model is more accurate and significantly faster than the volume/thickness model. The model can also be used to forecast progression: subjects with mild cognitive impairment misclassified as having mild Alzheimers disease dementia by the model were faster to progress to dementia over time. An analysis of the features learned by the proposed model shows that it relies on a wide range of regions associated with Alzheimers disease. These findings suggest that deep neural networks can automatically learn to identify imaging biomarkers that are predictive of Alzheimers disease, and leverage them to achieve accurate early detection of the disease.",NA,medrxiv
10.1101/2021.05.28.21257892,Replication of an open-access deep learning system for screening mammography: Reduced performance mitigated by retraining on local data,"Condon, J. J. J.; Oakden-Rayner, L.; Hall, K. A.; Reintals, M.; Holmes, A.; Carneiro, G.; Palmer, L. J.",James John Joseph Condon,University of Adelaide,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,radiology and imaging,https://www.medrxiv.org/content/early/2021/06/01/2021.05.28.21257892.source.xml,"AimTo assess the generalisability of a deep learning (DL) system for screening mammography developed at New York University (NYU), USA (1, 2) in a South Australian (SA) dataset.

Methods and MaterialsClients with pathology-proven lesions (n=3,160) and age-matched controls (n=3,240) were selected from women screened at BreastScreen SA from January 2010 to December 2016 (n clients=207,691) and split into training, validation and test subsets (70%, 15%, 15% respectively). The primary outcome was area under the curve (AUC), in the SA Test Set 1 (SATS1), differentiating invasive breast cancer or ductal carcinoma in situ (n=469) from age-matched controls (n=490) and benign lesions (n=44). The NYU system was tested statically, after training without transfer learning (TL), after retraining with TL and without (NYU1) and with (NYU2) heatmaps.

ResultsThe static NYU1 model AUCs in the NYU test set (NYTS) and SATS1 were 83.0%(95%CI=82.4%-83.6%)(2) and 75.8%(95%CI=72.6%-78.8%), respectively. Static NYU2 AUCs in the NYTS and SATS1 were 88.6%(95%CI=88.3%-88.9%)(2) and 84.5%(95%CI=81.9%-86.8%), respectively. Training of NYU1 and NYU2 without TL achieved AUCs in the SATS1 of 65.8% (95%CI=62.2%-69.1%) and 85.9%(95%CI=83.5%-88.2%), respectively. Retraining of NYU1 and NYU2 with TL resulted in AUCs of 82.4%(95%CI=79.7-84.9%) and 86.3%(95%CI=84.0-88.5%) respectively.

ConclusionWe did not fully reproduce the reported performance of NYU on a local dataset; local retraining with TL approximated this level of performance. Optimising models for local clinical environments may improve performance. The generalisation of DL systems to new environments may be challenging.

Key ContributionsIn this study, the original performance of deep learning models for screening mammography was reduced in an independent clinical population.

Deep learning (DL) systems for mammography require local testing and may benefit from local retraining.

An openly available DL system approximates human performance in an independent dataset.

There are multiple potential sources of reduced deep learning system performance when deployed to a new dataset and population.",NA,medrxiv
10.1101/2021.05.29.21258054,Remote exposure to secondhand tobacco smoke is associated with lower exercise capacity through effects on oxygen pulse- a proxy of cardiac stroke volume,"Zeng, S.; Dunn, M.; Gold, W. M.; Arjomandi, M.",Mehrdad Arjomandi,University of California San Francisco,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,respiratory medicine,https://www.medrxiv.org/content/early/2021/06/01/2021.05.29.21258054.source.xml,"BackgroundProlonged past exposure to secondhand tobacco smoke (SHS) is associated with exercise limitation. Pulmonary factors including air trapping contribute to this limitation but the contribution of cardiovascular factors is unclear.

MethodsTo determine contribution of cardiovascular mechanisms to SHS-associated exercise limitation, we examined the cardiovascular responses to maximum effort exercise testing in 166 never-smokers with remote but prolonged occupational exposure to SHS and no known history of cardiovascular disease except nine with medically-controlled hypertension. We estimated the contribution of oxygen-pulse (proxy for cardiac stroke volume) and changes in systolic (SBP) and diastolic blood pressures (DBP) and heart rate (HR) over workload towards exercise capacity, and examined whether the association of SHS with exercise capacity was mediated through these variables.

ResultsOxygen consumption (VO2Peak) and oxygen-pulse (O2-PulsePeak) at peak exercise were 1,516{+/-}431mL/min (100{+/-}23 %predicted) and 10.6{+/-}2.8mL/beat (117{+/-}25 %predicted), respectively, with 91 (55%) and 43 (26%) of subjects not being able to achieve their maximum predicted values. Sixty-two percent showed hypertensive response to exercise by at least one established criterion. In adjusted models, VO2Peak was associated directly with O2-Pulse and inversely with rise of SBP and DBP over workload (all P<0.05). Moreover, SHS exposure association with VO2Peak was mainly (84%) mediated through its effect on oxygen-pulse (P=0.034). Notably, although not statistically significant, a large proportion (60%) of air trapping effect on VO2Peak seemed to be mediated through oxygen-pulse (P=0.066).

DiscussionIn a never-smoker population with remote prolonged exposure to SHS, abnormal escalation of afterload and an SHS-associated reduction in cardiac output contributed to lower exercise capacity.",NA,medrxiv
10.1101/2021.05.29.21257923,Association between individual and country-level socioeconomic factors and work participation in spondyloarthritis including psoriatic arthritis: analysis of the ASAS-perSpA study,"Zhao, S. S.; Nikiphorou, E.; Boonen, A.; Lopez-Medina, C.; Dougados, M.; Ramiro, S.",Sofia Ramiro,Leiden University Medical Center,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by_nc_nd,rheumatology,https://www.medrxiv.org/content/early/2021/06/01/2021.05.29.21257923.source.xml,"ObjectiveTo examine whether associations between socioeconomic factors and work outcomes in spondyloarthritis (SpA) differ across axial (axSpA), peripheral SpA (pSpA) and psoriatic arthritis (PsA), and whether associations for individual-level socioeconomic factors are modified by country-level factors.

MethodsPatients with a physician diagnosis of SpA within working age (18-65 years) were included. Associations between individual- (age, gender, education, marital status) and country-level factors (Human Development Index, Health Care Expenditure (HCE), Gross Domestic Product, percentage unemployed) with work outcomes (employment status, absenteeism, presenteeism) were assessed using multivariable mixed-effects models. Associations between individual factors and outcomes were compared according to SpA phenotypes and country-level factors using interaction terms.

ResultsA total of 3835 patients (mean age 42 years, 61% males) from 23 countries worldwide were included (66% axSpA, 10% pSpA, 23% PsA). Being employed was associated with gender (male vs. female OR 2.5; 95%CI 1.9-3.2), education (university vs. primary OR 3.7; 2.9-4.7), marital status (married vs. single OR 1.3; 1.04-1.6), and age in a non-linear manner. University (vs primary) education was associated with lower odds of absenteeism (OR 0.7; 0.5-0.96) and presenteeism (OR 0.5; 0.3-0.7). Associations were similar across SpA phenotypes. Higher HCE was associated with more favourable work outcomes, e.g., higher odds of employment (OR 2.5; 1.5-4.1). Gender discrepancy in odds of employment was greater in countries with lower socioeconomic development.

ConclusionHigher educational attainment and higher HCE were associated with more favourable work outcomes, independently of SpA phenotype. The disadvantageous effect of female gender on employment is particularly strong in countries with lower socioeconomic development.",NA,medrxiv
10.1101/2021.05.31.21258017,IgG index and not serum 25-hydroxyvitamin D is associated with age at onset of multiple sclerosis.,"Stridh, P.; Kockum, I.; Huang, J.",Jesse Huang,Karolinska Insitutet,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by_nc_nd,neurology,https://www.medrxiv.org/content/early/2021/06/01/2021.05.31.21258017.source.xml,"BackgroundVitamin D deficiency is associated with an increased risk of multiple sclerosis (MS). However, its effect on the age of disease onset remains unclear. This study examines the relationship between serum 25 hydroxyvitamin D (25(OH)D) levels and age of first symptom onset among recently diagnosed MS patients.

MethodSerum 25(OH)D was measured from forty MS patients sampled near disease onset. After correcting seasonal variability, a multivariable linear regression was used to examine associations to age at onset.

ResultsSerum 25(OH)D was not correlated with age at onset (P>0.5). However, CSF IgG index was lower among patients with later disease onset ({beta}=-5.35, P=0.028). Furthermore, we observed bias resulting from non-random distribution of sampling by season, which after correcting indicates a higher 25(OH)D level among patients sampled at relapse compared to remission, instead of lower as previously reported.

ConclusionIn summary, serum 25(OH)D was not associated with the age at onset.",NA,medrxiv
10.1101/2021.05.30.21258049,A Randomised Crossover Trial: Exploring the Dose-Response effect Of Carbohydrate restriction on glycaemia in people with type 2 diabetes (D-ROC2),"Al ozairi, E.; Abdul Ghani, M.; Oliver, N.; Whitcher, B.; Al Awadi, R.; El Samad, A.; Taghadom, E.; Al-Kandari, J.; Guess, N.",Nicola Guess,University of Westminster,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,nutrition,https://www.medrxiv.org/content/early/2021/06/01/2021.05.30.21258049.source.xml,"AimsThe role of carbohydrate restriction in the management of glycaemia in type 2 diabetes (T2D) has been a subject of immense debate and controversy partly due to low-carbohydrate trials being confounded by multiple factors including degree of calorie restriction, dietary protein content, and by no clear definition of a low-carbohydrate diet. The current study sought to provide insight into the relationship between carbohydrate restriction and glycaemia by testing the effect of varying doses of carbohydrate on continuous glucose concentrations within a range of intakes defined as low-carbohydrate while controlling for confounding factors.

MethodsThis was a randomised crossover trial in participants with T2D testing 5 different 6-day eucaloric, isocaloric dietary treatments with varying carbohydrate contents (10%, 15%, 20%, 25%, and 30% kcal). Diets were kept isocaloric by exchanging %kcal from carbohydrate with predominantly unsaturated fat, keeping protein constant at 15% kcal. Daily self-weighing was employed to ensure participants maintained their weight throughout each treatment arm. Between dietary treatments, participants underwent a washout period of at least 7 days and were advised to maintain their habitual diet. Glycemic control was assessed using a continuous glucose monitoring device that was placed while the participant was on their normal diet, and was worn for the 6 days of each treatment.

Results12 participants completed the study. There were no differences in 24-hour and postprandial sensor glucose concentrations between the 30%kcal and 10%kcal doses (7.4 {+/-} 1.1mmol/L vs 7.6 {+/-} 1.4mmol/L (P=0.28) and 8.0 {+/-} 1.4mmol/L vs 8.3 {+/-} 1.3mmol/L (P=0.28) respectively). In our exploratory analyses we did not find any dose-response relationship between carbohydrate intake and glycaemia. A small amount of weight loss occurred in each treatment arm (range: 0.4 to 1.1kg over the 6 days) but adjusting for these differences did not influence the primary or secondary outcomes.

ConclusionsModest changes in dietary carbohydrate content in the absence of weight loss while keeping dietary protein intake constant do not appear to influence glucose concentrations in people with T2D.

Trial RegistrationISRCTN 11067343.",NA,medrxiv
10.1101/2021.05.28.21257887,High concordance of 70-gene recurrence risk signature and 80-gene molecular subtyping signature between core needle biopsy and surgical resection specimen in early-stage breast cancer,"Crozier, J. A.; Barone, J.; Whitworth, P.; Cheong, A.; Maganini, R.; Falk, J.; Wei, J.-P.; Mee, S.; Ruby, J.; Yang, S.; Huynh, Y.; Witteveen, A.; Finn, C.; Corcoran, K.; Dreezen, C.; Dauer, P.; Menicucci, A.; Wang, S.; Tran, A.; Yoder, E.; van der Baan, B.; Audeh, W.; Glas, A.",Annuska Glas,Agendia,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,oncology,https://www.medrxiv.org/content/early/2021/06/01/2021.05.28.21257887.source.xml,"IntroductionWith an increase in neoadjuvant therapy recommendations for most early-stage breast cancer patients due to the COVID-19 pandemic, it has become increasingly imperative to ensure that molecular diagnostic assays provide reliable results from preoperative core needle biopsies. Therefore, the objective of this study was to determine the concordance of MammaPrint results (70-gene signature) and BluePrint results (80-gene signature) between core needle biopsies (CNB) and surgical resection (SR) specimens using prospectively collected matched tissues from patients enrolled in the FLEX trial (NCT03053193).

MethodsWe analyzed 113 matched CNB and SR tumor specimens from women with early-stage breast cancer enrolled in the FLEX trial. Each patient enrolled in the trial receives a MammaPrint recurrence risk classification test with or without BluePrint molecular subtyping. Concordance of MammaPrint is reported using overall percentage agreement, positive predictive value (PPV, High Risk), negative predictive value (NPV, Low Risk), and Cohens kappa coefficient. Additionally, correlations between sample types are reported using Pearson correlation coefficient.

ResultsWe found good concordance for MammaPrint results between CNB and SR tumor samples (90.3%, {kappa} = 0.803), with a 95.1% NPV and 84.6% PPV. There was also a strong correlation of MammaPrint indices between CNB and SR specimens (r = 0.94). In addition to our primary objective, we determined the concordance of BluePrint subtyping in the matched tumor samples, and found excellent concordance (98.2%) and strong correlation of BluePrint scores within each subtype.

ConclusionCNB samples demonstrated overall high concordance with paired SR samples for MammaPrint risk classification, ensuring that physicians are provided with accurate prognostic information for therapy decisions based on testing of core biopsy tissue. Further, BluePrint molecular subtyping also had good concordance between the sample types, outperforming concordance rates based on traditional IHC based classification. Overall, with an increase in neoadjuvant therapy, physicans and patients can be assured that MammaPrint and BluePrint provide reliable results that guide timely and appropriate therapies using preoperative CNB specimens.",NA,medrxiv
10.1101/2021.05.31.21258042,High Speed Photographic Detection of Particle Distribution During Aerosol and Smoke Generating Surgical Procedures: Effects of Surgical Site Evacuation,"Bolk, K. G.; Dunham, M. E.; Hoffseth, K. F.; Jung, J. P.; Garcia, B. M.; Walvekar, R. R.",Michael E Dunham,"Louisiana State University Health Sciences Center - School of Medicine, Department of Otolaryngology",2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,otolaryngology,https://www.medrxiv.org/content/early/2021/06/01/2021.05.31.21258042.source.xml,"ObjectiveDetermine the effectiveness of evacuation systems designed to clear bioaerosols and smoke from the surgical field.

Study designHigh-speed photographic evaluation of aerosol and smoke generated in simulated surgical fields.

Materials and methodsSurgical site aerosol clearance was evaluated using a model of the anterior neck and prototypes for surgical site evacuator ports created using 3D printing. A commercially available electrocautery handpiece fitted with an evacuator was tested on animal tissue for smoke clearance. Both systems were connected to a commercial vacuum powered evacuation system. High speed photography was used to record videos of the aerosols and plumes. Fields were recorded with and without evacuation.

ResultsEfficient aerosol clearance from an open surgical field using an evacuator port is dependent upon the port design, airflow velocity, and placement relative to the aerosol generating site. The size and surface geometry of the surgical field are also important.

Surgical smoke generated with electrocautery is cleared from the field by the evacuation enclosure around the handpiece, even at high electrocautery power settings. Except for device noise, there appears to be no reason for using evacuator flow rates below the maximum setting.

ConclusionsBioaerosol and smoke generated during surgery are potential sources of respiratory pathogens and pose a threat to operating room personnel. Surgical site evacuation can significantly reduce the volume of airborne particles in the field but requires careful design and deployment considerations.x",NA,medrxiv
10.1101/2021.05.27.21257843,Health expenditure among the outpatient of type-2 diabetes in selected hospital of Kathmandu district: A cross-sectional study,"shrestha, R.; Shakya, A.",Rasmita shrestha,B.P. Koirala Institute of Health Science,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,health economics,https://www.medrxiv.org/content/early/2021/06/01/2021.05.27.21257843.source.xml,"IntroductionOut of Pocket (OOP) expenditure is the dominant financing mechanism in the low and middle-income countries. In these countries the prevalence of diabetes has been rising more rapidly which can lead to various micro-vascular complications thus increasing the risk of dying prematurely.

MethodsA cross-sectional - comparative and hospital-based study was carried out in which OOP expenditure of diabetic patient treating in public and private hospital was compared. A total of 154 diabetic patients i.e.77 in each type of hospitals were selected purposively in consultation with attending physician and staffs. Face to face interview was done to diabetic patient with a minimum of one year of illness using structured questionnaire. Lorentz curve and concentration curve were prepared using income and expenditure of the patients.

ResultAmong154 patients, 97.4% patients had paid out of pocket for the treatment of diabetes. Mean direct cost per month was NRs. 7312.17 in public and NRs. 10125.31 in private hospital. Direct medical cost had higher share in total direct cost i.e. 60.5% in public and 69.3 % in private hospital. Medicine cost had higher percentage share (50.9%) in public hospital and laboratory cost had higher percentage share (68%) in private hospital.

ConclusionDirect medical cost was higher in private hospital as compared to public hospital. All the income groups have to pay similar amount of money for the treatment i.e. economic burden for the treatment of disease was found higher for the poor people as there was not any financial protection mechanism.",NA,medrxiv
10.1101/2021.06.01.21258138,Progression of COVID19 Pandemic in India: A Concurrent Linear Regression Analysis Approach,"Chaurasia, A. R.; Singh, B. P.; Singh, R.",Aalok Ranjan Chaurasia,MLC Foundation,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by,health informatics,https://www.medrxiv.org/content/early/2021/06/01/2021.06.01.21258138.source.xml,"This paper uses concurrent linear regression analysis approach to describe the progression of COVID 19 pandemic in India during the period 15 March 2020 through 15 May 2021. The approach provides very good fit to the daily reported new confirmed cases of the disease. The paper suggests that, based on the parameter of the model, an early warning system may be developed and institutionalised to undertaken necessary measures to control the spread of the disease, thereby controlling the pandemic.",NA,medrxiv
10.1101/2021.05.30.21257945,The Digital Analytic Patient Reviewer (DAPR) for COVID-19 Data Mart Validation,"Park, H.; Wang, T. D.; Wattanasin, N.; Castro, V. M.; Gainer, V.; Goryachev, S.; Murphy, S.",Heekyong Park,Mass General Brigham,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by_nd,health informatics,https://www.medrxiv.org/content/early/2021/06/01/2021.05.30.21257945.source.xml,"ObjectiveTo provide high-quality data for COVID-19 research, we validated COVID-19 clinical indicators and 22 associated computed phenotypes, which were derived by machine learning algorithms, in the Mass General Brigham (MGB) COVID-19 Data Mart.

Materials and MethodsFifteen reviewers performed a manual chart review for 150 COVID-19 positive patients in the data mart. To support rapid chart review for a wide range of target data, we offered the Digital Analytic Patient Reviewer (DAPR). DAPR is a web-based chart review tool that integrates patient notes and provides note search functionalities and a patient-specific summary view linked with relevant notes. Within DAPR, we developed a COVID-19 validation task-oriented view and information extraction logic, enabled fast access to data, and considered privacy and security issues.

ResultsThe concepts for COVID-19 positive cohort, COVID-19 index date, COVID-19 related admission, and the admission date were shown to have high values in all evaluation metrics. For phenotypes, the overall specificities, PPVs, and NPVs were high. However, sensitivities were relatively low. Based on these results, we removed 3 phenotypes from our data mart. In the survey about using the tool, participants expressed positive attitudes towards using DAPR for chart review. They assessed the validation was easy and DAPR helped find relevant information. Some validation difficulties were also discussed.

Discussion and ConclusionDAPRs patient summary view accelerated the validation process. We are in the process of automating the workflow to use DAPR for chart reviews. Moreover, we will extend its use case to other domains.",NA,medrxiv
10.1101/2021.05.31.21258031,The COVID-19 pandemic shifted the Veterans Affairs System toward being a payer and virtual care provider: is it sustainable?,"Rose, L.; Tran, L. D.; Asch, S. M.; Vashi, A.",Liam Rose,Department of Veterans Affairs,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,health policy,https://www.medrxiv.org/content/early/2021/06/01/2021.05.31.21258031.source.xml,"Structured AbstractO_ST_ABSObjectiveC_ST_ABSTo examine how VA shifted care delivery methods one year into the pandemic.

Study SettingAll encounters paid or provided by VA between January 1, 2019 and February 27, 2021.

Study DesignWe aggregated all VA paid or provided encounters and classified them into community (non-VA) acute and non-acute visits, VA acute and non-acute visits, and VA virtual visits. We then compared the number of encounters by week over time to pre-pandemic levels.

Data Extraction MethodsAggregation of administrative VA claims and health records.

Principal FindingsVA has experienced a dramatic and persistent shift to providing virtual care and purchasing care from non-VA providers. Before the pandemic, a majority (63%) of VA care was provided in-person at a VA facility. One year into the pandemic, in-person care at VAs constituted just 33% of all visits. Most of the difference made up by large expansions of virtual care; total VA provided visits (in person and virtual) declined (4.9 million to 4.2 million) while total visits of all types declined only 3.5%. Community provided visits exceeded prepandemic levels (2.3 million to 2.9 million, +26%).

ConclusionUnlike private health care, VA has resumed in-person care slowly at its own facilities, and more rapidly in purchased care with different financial incentives a likely driver. The very large expansion of virtual care nearly made up the difference. With a widespread physical presence across the U.S., this has important implications for access to care and future allocation of medical personnel, facilities, and resources.",NA,medrxiv
10.1101/2021.05.29.20161125,Detection of Human Papillomaviruses DNA in paired peripheral blood and cervix samples patients with cervical lesions and healthy individuals,"Nascimento, K. C. G.; Lima, E. G.; Chagas, B. S.; Nunes, Z. M.; Barros Junior, M. R.; Aragao, M. B.; Lucena, A. R.; Silva Neto, J. C.; Gurgel, A. P. A. D.; Freitas, A. C.",Ana Pavla A. D. Gurgel,Federal University of Paraiba,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by_nc_nd,infectious diseases,https://www.medrxiv.org/content/early/2021/06/01/2021.05.29.20161125.source.xml,"This study evaluated the presence of HPV DNA in the cervix and peripheral blood of women with cervical intraepithelial neoplasia (CIN I, II, and III) and healthy individuals. Overall, 139 paired peripheral blood and cervix samples of healthy women and women with CIN I, II, and III (n= 68) were tested for HPV DNA by using standard procedures. PCR-sequencing determined HPV types. Quantification of HPV16 E6 and E2 genes was performed to determine viral load and physical state. HPV DNA was detected in the cervix (21.1% in healthy individuals; 48.8-55.5% in CIN patients), blood (46.4% in healthy individuals; 44.1-77.7% in CIN patients), and paired peripheral blood and cervix samples (24% in healthy individuals; 32.5-44.4% in CIN patients). The most frequent types found in the cervix were HPV16, 18, 31, 33, 58, and 70, while HPV16, 18, 33, 58, and 66 were the most frequent types found in the blood. HPV DNA in the cervix was associated with previous sexually transmitted infections (STIs) (P=0.023; OR: 2.978; CI:1.34-7.821), HPV DNA in the blood (P=0.000; OR: 3.369; CI:3.700-18.540), and cervical lesions (CIN I/II or III) (P=0.001; OR: 3.369; CI:1.634-6.945). Binomial Logistic regression showed that HPV DNA in the blood (P=0.000; OR: 9.324; CI:3.612-24.072) and cervical lesions (P=0.011; OR: 3.622; CI:1.338-9.806) were associated with HPV DNA in the cervix. However, we did not find an association between HPV DNA in blood and cervical lesions (P=0.385). Our results showed that, although there is an association between HPV DNA in the cervix with HPV DNA in blood, only HPV DNA found in the cervix was associated with cervical lesions.",NA,medrxiv
10.1101/2021.05.31.21257367,A one-step real-time RT-PCR assay for simultaneous typing of SARS-CoV-2 mutations associated with the E484K and N501Y spike protein amino-acid substitutions,"Chaintoutis, S. C.; Chassalevris, T.; Tsiolas, G.; Balaska, S.; Vlatakis, I.; Mouchtaropoulou, E.; Siarkou, V. I.; Tychala, A.; Koutsioulis, D.; Skoura, L.; Argiriou, A.; Dovas, C. I.",Chrysostomos I. Dovas,Aristotle University of Thessaloniki,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by_nc_nd,infectious diseases,https://www.medrxiv.org/content/early/2021/06/01/2021.05.31.21257367.source.xml,"The emergence of SARS-CoV-2 mutations resulting in the S protein amino-acid substitutions N501Y and E484K, which have been associated with enhanced transmissibility and immune escape, respectively, necessitates immediate actions, for which their rapid identification is crucial. For the simultaneous typing of both of these mutations of concern (MOCs), a one-step real-time RT-PCR assay employing four locked nucleic acid (LNA) modified TaqMan probes was developed. The assay is highly sensitive with a LOD of 117 copies/reaction, amplification efficiencies >94% and a linear range of over 5 log10 copies/reaction. Validation of the assay using known SARS-CoV-2-positive and negative samples from human and animals revealed its ability to correctly identify wild type strains, and strains possessing either one or both targeted amino-acid substitutions, thus comprising a useful pre-screening tool for rapid MOC identification. The basic principles of the methodology for the development of the assay are explained in order to facilitate the rapid design of similar assays able to detect emerging MOCs.",NA,medrxiv
10.1101/2021.05.31.21257841,Aerosol SARS-CoV-2 in hospitals and long-term care homes during the COVID-19 pandemic.,"Mallach, G.; Kasloff, S. B.; Kovesi, T.; Kumar, A.; Kulka, R.; Krishnan, J.; Robert, B.; McGuinty, M.; den Otter-Moore, S.; Yazji, B.; Cutts, T.",Gary Mallach,"Water and Air Quality Bureau, Health Canada, Ottawa, Canada.",2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,infectious diseases,https://www.medrxiv.org/content/early/2021/06/01/2021.05.31.21257841.source.xml,"BackgroundFew studies have quantified aerosol concentrations of SARS-CoV-2 in hospitals and long-term care homes, and fewer still have examined samples for viability. This information is needed to clarify transmission risks beyond close contact.

MethodsWe deployed particulate air samplers in rooms with COVID-19 positive patients in hospital ward and ICU rooms, rooms in long-term care homes experiencing outbreaks, and a correctional facility experiencing an outbreak. Samplers were placed between 2 and 3 meters from the patient. Aerosol (small liquid particles suspended in air) samples were collected onto gelatin filters by Ultrasonic Personal Air Samplers (UPAS) fitted with <2.5{micro}m (micrometer) and <10 {micro}m size-selective inlets operated for 16 hours (total 1.92m3), and with a Coriolis Biosampler over 10 minutes (total 1.5m3). Samples were assayed for viable SARS-CoV-2 virus and for the viral genome by multiplex PCR using the E and N protein target sequences. We validated the sampling methods by inoculating gelatin filters with viable vesicular stomatitis virus (VSV), and with three concentrations of viable SARS-CoV-2, operating personal samplers for 16hrs, and quantifying viable virus recovery by TCID50 assay.

ResultsIn total, 138 samples were collected from 99 rooms. RNA samples were positive in 9.1% (6/66) of samples obtained with the UPAS 2.5{micro}m samplers, 13.5% (7/52) with the UPAS 10{micro}m samplers, and 10.0% (2/20) samples obtained with the Coriolis samplers. Culturable virus was not recovered in any samples. Viral RNA was detected in 10.9% of the rooms sampled. There was no significant difference in viral RNA recovery between the different room locations or samplers. Method development experiments indicated minimal loss of SARS-CoV-2 viability via the personal air sampler operation.

Key FindingsAlthough a subset of aerosol samples exhibited detectable SARS-CoV-2 RNA at low titres, the presence of viable SARS-CoV-2 virus in aerosols appears to be infrequent at >2m distance.",NA,medrxiv
